"published_platform","rating","type","helpful_votes","travel_date","text","title","machine_translated","machine_translatable"
"Desktop","2","review","0",,"- [ ] we took off from SLC and were told the plane was overweight and luggage would be removed. When we landed at YYC, our skis were not there. Because we had to drive to Revelstoke that night to meet a helicopter which was taking us into a remote lodge in the morning, we waited until 1 AM  to get our skis then drove through a storm to Revelstoke, sleep deprived. I will never forgive Delta for putting our lives at risk","Delta put us at risk","false","false"
"Desktop","1","review","0",,"My wife and was boarding our flight which was 15 minutes late boarding. Then we sat in the parking spot for another a hour & a half. All of this with no communication or anything to eat or drink was offered. This made our flight late and our next flight was boarding when we landed. After getting bags rechecked in. We made it to the gate which was 2 minutes late after the doors were closed. They got us on another flight 5 hours later in the last row in coach and wasn’t offered compensation for food or our first class seats. This was handled very poorly!!!!","First class bad experience","false","false"
"Desktop","1","review","0",,"My family & I ended up spending 1 of my only 2 vacation days stuck in Detroit airport because airline didn't have crew to load baggage on the plane in Syr. It is difficult to accept that we sat in the plane for 2 1/2 hrs due to this lack of support. The delay caused me and my family to miss a connecting flight which is bad enough. Then, even though the company could have connected us on an earlier flight on a different carrier, Delta preferred to rebook us to their own flight due to corporate policy, even though it was 4 hours more for us to sit in the airport. So that means Delta gets to keep the money and we get to spend the day here - at an airport terminal.
To improve: Where to start... (1) Hire enough people to do the job? Having trouble getting people to load baggage at 4am in the snow and rain? Perhaps you need to offer more than minimum wage for that ""Ramp Crew"" job that I see posted. (2) Put your customers first instead of corporate profits. Don't make a family spend the day at an airport when you can get them to their destination 4 hours earlier OR (3) How about simply not loading the plane full of people when you know you can't take off! I can't help but imagine that ""loading the plane ontime"" helps some sort of corporate statistic. That really sucks for real people. You should try it sometime. Not a fun adventure.","Vacation day spent in Detroit Airport due lack of ""Ramp Crew""","false","false"
"Desktop","1","review","0",,"On a recent Delta flight from Los Angeles to Aspen, passengers experienced an egregious level of poor service upon arrival. The frustration began as the aircraft taxied to its final deplaning area, only to find no ground personnel available to direct the plane. Passengers were left stranded onboard for a baffling 15 minutes, waiting for assistance that never seemed to materialize. This lack of coordination and foresight left travelers feeling disregarded and inconvenienced.

As if the initial delay wasn't enough, the ordeal continued when it came time to retrieve luggage. Despite Aspen's relatively low traffic volume, with only four planes arriving daily, passengers were left dumbfounded as they waited an additional 20 minutes for their bags to be offloaded. Such an extended delay in a destination with minimal air traffic is simply inexcusable and indicative of a systemic failure in Delta's service operations.

The absence of ground personnel and the prolonged wait for baggage retrieval underscore a concerning disregard for customer satisfaction and basic operational efficiency. Passengers, many of whom may have been eager to begin their Aspen adventures or simply return home after a long journey, were left feeling frustrated and disillusioned by the airline's lackluster performance.

Delta Air Lines, a reputable carrier known for its commitment to customer service, must address these glaring deficiencies promptly. Failure to do so risks not only alienating loyal patrons but also tarnishing the airline's hard-earned reputation for reliability and quality. In an industry where competition is fierce and customer expectations are high, such lapses in service can have far-reaching consequences. It is imperative that Delta takes swift and decisive action to rectify these issues and restore faith in its ability to deliver a superior travel experience.","Poor service","false","false"
"Desktop","5","review","0",,"We fly business class to Quito from Atlanta on Delta One . We had first class from Boston to Atlanta. We loved our flight, the service, the flight attendants. The seats were comfortable and the food was good for airplane food. We love Delta and they do a great job.","Excellent Airline","false","false"
"Desktop","1","review","0",,"Flight was an hour and half late. About the same amount of flight time. We missed our connecting flight, which could have waited! We then had a 3 1/2 hour layover,and sent to a different connecting flight! NOW WE WILL ARRIVE AT OUR DESTINATION A DAY LATE!!!!","Bad service. Try harder when you are at fault!","false","false"
"Desktop","1","review","0",,"Honestly one of the worst flights in my life I been traveling since 1999 the thing is that this airline sold the seat to 2 people so the flight attendant ask her if she wanted to stay there and have absolutely no customer service towards me..Just because I'm a Dominican she was USA citizen. Last time traveling here.","Worst flight","false","false"
"Desktop","1","review","0",,"I always thought you pay what you get for. Delta being the most expensive airline I was expecting better and they completely disappointed. First, if you are flying internationally and let’s say weather doesn’t permit for your connection, obviously you’ll would look for the closest options to try and get you to your destination, well not delta. They know they could not get us to our destination till 2 days later so on a 7 day vacation it really became 5, lost the money for hotels and tours. However if they’ve would have just accepted the fact that they could get me there in the time that I requested then you cancel the flight and let you me get my refund back so you can book for another time. But once again this is not delta, they’ll just Daley your flight, fly you to Atlanta and leave you stranded there, having to then figure out a place to stay and how to get there, and by the way with your luggage so now I’ll be arriving in Madrid with the same underwear from 48 hours ago. And their excuse is your luggage is safe with us to make the next flight???? And through all of there traveling with my 78 year old mother thru airports, hotels, cabs, and all they can say is sorry!!! Shameful!!!!","The greed of delta","false","false"
"Desktop","5","review","0",,"From beginning of flight DL20 from Sea-tac to London Heathrow, the first stewardess with glasses (Kera I think) is the best customer service I’ve experienced.  I’ve been a Virgin Atlantic customer for last two intercontinental flights, never done Delta before but will again, TV screens are bigger (remotes/interface aren’t as good though) quality of food and sundries is a bit better, only downside- on Airbus 380 the aisle are smaller and hard to walk to the small bathrooms, you basically have to be spiderman to get around the plane in flight.","Dl20 to tha moon!","false","false"
"Desktop","1","review","0",,"Terrible airline. My husband was scheduled to come in earlier and they delayed him 3 times. We missed our freaking dinner reservation at Ruth Chris because his flight was so late on time. Even worse, one of the flight attendants slapped him in the face and spit on him. This is UNRULY behavior. That flight attendant needs to pick up a Bible because he sinned too many times, especially by hate criming my man. Below is a selfie from the flight attendants facebook","WORST AIRLINE EVER","false","false"
